Week,Lecture,Date,HTML,PDF,Exercise,Topic,Readings,Assessment
1,a,2020-03-09T00:00:00Z,lecture_1a.html,lecture_1a.pdf,ida-exercise-1a.zip,Introduction to the language of data analysis,NA,NA
1,b,2020-03-11T00:00:00Z,lecture_1b.html,lecture_1b.pdf,ida-exercise-1b.zip,NA,NA,NA
2,a,2020-03-16T00:00:00Z,lecture_2a.html,lecture_2a.pdf,ida-exercise-2a.zip,"Tidy data principles, reshaping your data into tidy form, and basic data wrangling",NA,NA
2,b,2020-03-18T00:00:00Z,lecture_2b.html,lecture_2b.pdf,ida-exercise-2b.zip,NA,NA,NA
3,a,2020-03-30T00:00:00Z,lecture_3a.html,lecture_3a.pdf,ida-exercise-3a.zip,"Plotting your data, and wrangling temporal data",NA,NA
3,b,2020-04-01T00:00:00Z,lecture_3b.html,lecture_3b.pdf,ida-exercise-3b.zip,NA,NA,NA
4,a,2020-04-06T00:00:00Z,NA,NA,NA,"Advanced wrangling, joining tables, and advanced data visualisation",NA,NA
4,b,2020-04-08T00:00:00Z,NA,NA,NA,NA,NA,Assignment 1
5,a,2020-04-20T00:00:00Z,NA,NA,NA,Handling missing values and scraping data,NA,NA
5,b,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA,NA
6,a,2020-04-27T00:00:00Z,NA,NA,NA,"Introduction to modeling, and programming",NA,Mid Semester In-Class Exam
6,b,2020-04-29T00:00:00Z,NA,NA,NA,NA,NA,NA
7,a,2020-05-04T00:00:00Z,NA,NA,NA,Intermediate models and programming,NA,NA
7,b,2020-05-06T00:00:00Z,NA,NA,NA,NA,NA,NA
8,a,2020-05-11T00:00:00Z,NA,NA,NA,Analysing text data,NA,NA
8,b,2020-05-13T00:00:00Z,NA,NA,NA,NA,NA,Assignment 2
9,a,2020-05-18T00:00:00Z,NA,NA,NA,"Wrangling, plotting and modeling network data",NA,NA
9,b,2020-05-20T00:00:00Z,NA,NA,NA,NA,NA,NA
10,a,2020-05-25T00:00:00Z,NA,NA,NA,"Computational modeling, and good data collection practices",NA,NA
10,b,2020-05-27T00:00:00Z,NA,NA,NA,NA,NA,NA
11,a,2020-06-01T00:00:00Z,NA,NA,NA,Guest Lecturer,NA,Project Due
11,b,2020-06-03T00:00:00Z,NA,NA,NA,Practical Exam,NA,Practical Exam
12,a,2020-06-08T00:00:00Z,NA,NA,NA,Project Presentation,NA,Projects Presented
12,b,2020-06-10T00:00:00Z,NA,NA,NA,Project Presentation,NA,Projects Presented
